timestamp,true,baseline,arima,randomforest
2020-05-09 18:40:00,914.06,916.24,902.7889226583043,915.6712909090908
2020-05-09 18:45:00,914.44,914.06,902.7888820944955,913.8126409090905
2020-05-09 18:50:00,884.52,914.44,902.7889198549107,909.3495999999997
2020-05-09 18:55:00,905.42,884.52,902.7888847041447,904.5286000000003
2020-05-09 19:00:00,898.0,905.42,902.7889174256162,908.2321
2020-05-09 19:05:00,938.39,898.0,902.7888869655488,905.1132999999999
2020-05-09 19:10:00,911.8,938.39,902.7889153204993,900.9242000000002
2020-05-09 19:15:00,923.04,911.8,902.7888889251797,908.4667999999999
2020-05-09 19:20:00,919.64,923.04,902.7889134963,911.7489999999999
2020-05-09 19:25:00,936.65,919.64,902.7888906233072,910.3180999999995
2020-05-09 19:30:00,918.22,936.65,902.7889119155311,920.5420999999998
